X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-5	0	-900	-2.20106e-06	1.41374e-07	1.6297e-05
-4	0	-900	-8.60068e-07	-4.72982e-07	1.5694e-05
-3	0	-900	-1.46745e-06	1.42051e-06	1.48056e-05
-2	0	-900	6.34917e-08	-8.68811e-07	1.47485e-05
-1	0	-900	-1.52487e-06	2.84658e-07	1.36422e-05
0	0	-900	-2.09929e-06	8.37395e-07	1.35841e-05
1	0	-900	5.23542e-07	-4.02663e-07	1.4733e-05
2	0	-900	-2.1022e-06	8.98606e-07	1.28915e-05
3	0	-900	-7.43379e-07	1.41239e-07	1.43718e-05
4	0	-900	-1.11167e-06	5.09509e-07	1.22771e-05
5	0	-900	-1.72159e-06	7.46467e-07	1.10811e-05
-5	0	-899.5	-1.9135e-06	9.58961e-07	1.6203e-05
-4	0	-899.5	-7.85913e-07	3.35569e-08	1.58288e-05
-3	0	-899.5	-1.4183e-06	8.14918e-07	1.54877e-05
-2	0	-899.5	-1.50656e-07	-8.82932e-07	1.5168e-05
-1	0	-899.5	-1.10928e-06	6.0605e-07	1.37561e-05
0	0	-899.5	-2.05006e-06	7.11821e-07	1.38623e-05
1	0	-899.5	1.18391e-06	-2.83104e-07	1.35772e-05
2	0	-899.5	-2.41456e-06	6.40837e-07	1.24029e-05
3	0	-899.5	7.3648e-09	1.93894e-07	1.32506e-05
4	0	-899.5	-1.60408e-06	8.63144e-07	1.15048e-05
5	0	-899.5	-9.08722e-07	1.01569e-06	1.15244e-05
-5	0	-899	-1.33127e-06	8.67696e-07	1.62644e-05
-4	0	-899	-5.5572e-07	-6.97055e-08	1.55145e-05
-3	0	-899	-1.40314e-06	5.5418e-07	1.52875e-05
-2	0	-899	-5.13173e-07	-8.39007e-07	1.52666e-05
-1	0	-899	-1.28718e-06	1.1924e-06	1.38799e-05
0	0	-899	-1.80137e-06	6.70344e-07	1.28824e-05
1	0	-899	4.38808e-07	-7.05378e-07	1.37037e-05
2	0	-899	-3.1865e-06	4.59708e-07	1.24723e-05
3	0	-899	-3.56448e-07	3.31699e-07	1.31425e-05
4	0	-899	-1.31637e-06	1.68054e-06	1.18722e-05
5	0	-899	-8.72253e-07	1.19455e-06	1.18571e-05
-5	0	-898.5	-2.15213e-06	5.89642e-07	1.61956e-05
-4	0	-898.5	-7.24407e-07	2.32222e-07	1.56227e-05
-3	0	-898.5	-1.35438e-06	8.00084e-07	1.49333e-05
-2	0	-898.5	-4.77062e-07	-6.90105e-07	1.53426e-05
-1	0	-898.5	-1.95308e-06	3.89864e-07	1.38845e-05
0	0	-898.5	-2.27102e-06	7.90304e-07	1.24319e-05
1	0	-898.5	1.04417e-06	-1.59917e-07	1.38532e-05
2	0	-898.5	-3.18083e-06	1.92664e-07	1.29335e-05
3	0	-898.5	-3.47439e-07	1.40595e-07	1.37354e-05
4	0	-898.5	-1.1935e-06	1.4459e-06	1.17945e-05
5	0	-898.5	-1.26277e-06	1.52262e-06	1.19857e-05
-5	0	-898	-2.1832e-06	1.50281e-07	1.61364e-05
-4	0	-898	-1.09999e-06	3.08583e-07	1.53376e-05
-3	0	-898	-1.2651e-06	5.19039e-07	1.54033e-05
-2	0	-898	-4.40198e-07	-6.4282e-07	1.57068e-05
-1	0	-898	-2.04339e-06	3.6597e-07	1.37233e-05
0	0	-898	-2.31493e-06	5.96999e-07	1.32927e-05
1	0	-898	1.00849e-06	-1.27997e-07	1.42227e-05
2	0	-898	-2.80845e-06	1.02467e-06	1.29475e-05
3	0	-898	-2.04717e-07	2.78294e-07	1.34719e-05
4	0	-898	-1.29924e-06	5.43849e-07	1.19052e-05
5	0	-898	-4.81952e-07	1.75642e-06	1.24148e-05
-5	0	-897.5	-2.26547e-06	1.02021e-06	1.57991e-05
-4	0	-897.5	-7.18606e-07	-1.04036e-08	1.59797e-05
-3	0	-897.5	-1.21525e-06	4.22101e-07	1.49798e-05
-2	0	-897.5	6.80943e-09	-9.88679e-07	1.47197e-05
-1	0	-897.5	-2.23515e-06	4.4514e-07	1.38468e-05
0	0	-897.5	-2.36517e-06	1.20363e-06	1.31479e-05
1	0	-897.5	9.31684e-07	-3.97891e-07	1.4311e-05
2	0	-897.5	-2.67562e-06	1.08835e-06	1.16947e-05
3	0	-897.5	-3.38457e-07	9.23201e-07	1.34211e-05
