# Period[mm]	K
1.600000000000000000e+01 1.077576949494656766e+00
1.650000000000000000e+01 1.156899436253080449e+00
1.700000000000000000e+01 1.237944040208584173e+00
1.750000000000000000e+01 1.320615346759707931e+00
1.800000000000000000e+01 1.404822595675795593e+00
1.850000000000000000e+01 1.490478657135416052e+00
1.900000000000000000e+01 1.577502265824350269e+00
1.950000000000000000e+01 1.665813273477372070e+00
2.000000000000000000e+01 1.755338234123211549e+00
2.050000000000000000e+01 1.846005377364087430e+00
2.100000000000000000e+01 1.937746563211445228e+00
2.150000000000000000e+01 2.030495513425051080e+00
2.200000000000000000e+01 2.124189859436146133e+00
2.250000000000000000e+01 2.218771375065985652e+00
2.300000000000000000e+01 2.314179786212671175e+00
2.350000000000000000e+01 2.410365430739736858e+00
2.400000000000000000e+01 2.507270082468437966e+00
2.450000000000000000e+01 2.604848594001985429e+00
2.500000000000000000e+01 2.703051442835036955e+00
2.550000000000000000e+01 2.801833528114510585e+00
2.600000000000000000e+01 2.901147142539678647e+00
2.650000000000000000e+01 3.000953841007707901e+00
2.700000000000000000e+01 3.101215085328349996e+00
2.750000000000000000e+01 3.201886891697518056e+00
2.800000000000000000e+01 3.302934771227562294e+00
2.850000000000000000e+01 3.404323816137459602e+00
2.900000000000000000e+01 3.506018467034277108e+00
2.950000000000000000e+01 3.607987772352174716e+00
3.000000000000000000e+01 3.710200035825985676e+00
3.050000000000000000e+01 3.812625422938861419e+00
3.100000000000000000e+01 3.915235960922278213e+00
3.150000000000000000e+01 4.018002606502423468e+00
3.200000000000000000e+01 4.120903949573605729e+00
3.250000000000000000e+01 4.223908526589197798e+00
3.300000000000000000e+01 4.326998464765313912e+00
3.350000000000000000e+01 4.430145465527474791e+00
3.400000000000000000e+01 4.533332028441459549e+00
3.450000000000000000e+01 4.636536091789664304e+00
3.500000000000000000e+01 4.739740341312701055e+00
3.550000000000000000e+01 4.842919224514860232e+00
3.600000000000000000e+01 4.946061710537343004e+00
3.650000000000000000e+01 5.049148437197605865e+00
3.700000000000000000e+01 5.152161345536934611e+00
3.750000000000000000e+01 5.255087170598540247e+00
3.800000000000000000e+01 5.357910599502481830e+00
3.850000000000000000e+01 5.460614038727124253e+00
3.900000000000000000e+01 5.563191903027503216e+00
3.950000000000000000e+01 5.665625574920409413e+00
4.000000000000000000e+01 5.767904814790073331e+00
4.050000000000000000e+01 5.870016916204204627e+00
4.100000000000000000e+01 5.971954106363561721e+00
4.150000000000000000e+01 6.073702189437197418e+00
4.200000000000000000e+01 6.175255719811270083e+00
4.250000000000000000e+01 6.276602642665401355e+00
4.300000000000000000e+01 6.377735836812262527e+00
4.350000000000000000e+01 6.478649298113518640e+00
4.400000000000000000e+01 6.579329947787211808e+00
4.450000000000000000e+01 6.679773736530743911e+00
4.500000000000000000e+01 6.779973543156788018e+00
4.550000000000000000e+01 6.879927412829606403e+00
4.600000000000000000e+01 6.979621661699036750e+00
4.650000000000000000e+01 7.079056150133957281e+00
4.700000000000000000e+01 7.178223105335123755e+00
4.750000000000000000e+01 7.277119920854890900e+00
4.800000000000000000e+01 7.375740452923795765e+00
4.850000000000000000e+01 7.474079302471707820e+00
4.900000000000000000e+01 7.572136376411211067e+00
4.950000000000000000e+01 7.669907904701956269e+00
5.000000000000000000e+01 7.767386207632115180e+00
5.050000000000000000e+01 7.864573565843386405e+00
5.100000000000000000e+01 7.961458948476964892e+00
5.150000000000000000e+01 8.058050873031415762e+00
5.200000000000000000e+01 8.154344452417401357e+00
5.250000000000000000e+01 8.250330470980729913e+00
5.300000000000000000e+01 8.346014886316028836e+00
5.350000000000000000e+01 8.441389646361809440e+00
5.400000000000000000e+01 8.536457124847181888e+00
5.450000000000000000e+01 8.631220440200584321e+00
5.500000000000000000e+01 8.725668096126131701e+00
5.550000000000000000e+01 8.819809447909138456e+00
5.600000000000000000e+01 8.913639143023182498e+00
5.650000000000000000e+01 9.007157460730510934e+00
5.700000000000000000e+01 9.100359932835154098e+00
5.750000000000000000e+01 9.193253168543650489e+00
5.800000000000000000e+01 9.285833723621605529e+00
5.850000000000000000e+01 9.378103971798132932e+00
5.900000000000000000e+01 9.470055861011736908e+00
5.950000000000000000e+01 9.561698141479533675e+00
6.000000000000000000e+01 9.653034722872993356e+00
