# Period[mm]	K
1.600000000000000000e+01 7.611944185927007611e-01
1.650000000000000000e+01 8.171720242586276717e-01
1.700000000000000000e+01 8.743567875360001018e-01
1.750000000000000000e+01 9.326830817964962828e-01
1.800000000000000000e+01 9.920886315587738036e-01
1.850000000000000000e+01 1.052508089456759333e+00
1.900000000000000000e+01 1.113886720089810156e+00
1.950000000000000000e+01 1.176167274697051068e+00
2.000000000000000000e+01 1.239296972713576750e+00
2.050000000000000000e+01 1.303227967207532867e+00
2.100000000000000000e+01 1.367908036138510974e+00
2.150000000000000000e+01 1.433293893858044177e+00
2.200000000000000000e+01 1.499339834444846753e+00
2.250000000000000000e+01 1.566007738602044119e+00
2.300000000000000000e+01 1.633252784738802976e+00
2.350000000000000000e+01 1.701037830976116716e+00
2.400000000000000000e+01 1.769329645106452631e+00
2.450000000000000000e+01 1.838087734103824866e+00
2.500000000000000000e+01 1.907282030732846634e+00
2.550000000000000000e+01 1.976879582048233441e+00
2.600000000000000000e+01 2.046848924503357647e+00
2.650000000000000000e+01 2.117162550766773954e+00
2.700000000000000000e+01 2.187789602360058705e+00
2.750000000000000000e+01 2.258703083932554811e+00
2.800000000000000000e+01 2.329880095979912635e+00
2.850000000000000000e+01 2.401291455597196922e+00
2.900000000000000000e+01 2.472917195533664625e+00
2.950000000000000000e+01 2.544730785875737311e+00
3.000000000000000000e+01 2.616715191626277193e+00
3.050000000000000000e+01 2.688846535863065323e+00
3.100000000000000000e+01 2.761104944422773766e+00
3.150000000000000000e+01 2.833471846365898106e+00
3.200000000000000000e+01 2.905929973976759229e+00
3.250000000000000000e+01 2.978460337422481619e+00
3.300000000000000000e+01 3.051045063919182621e+00
3.350000000000000000e+01 3.123673634588846948e+00
3.400000000000000000e+01 3.196324360063532932e+00
3.450000000000000000e+01 3.268985930222189751e+00
3.500000000000000000e+01 3.341648338167590548e+00
3.550000000000000000e+01 3.414289661813255883e+00
3.600000000000000000e+01 3.486905293332087652e+00
3.650000000000000000e+01 3.559478523532905392e+00
3.700000000000000000e+01 3.632000276392642224e+00
3.750000000000000000e+01 3.704459102159123329e+00
3.800000000000000000e+01 3.776848019276145774e+00
3.850000000000000000e+01 3.849150411639941982e+00
3.900000000000000000e+01 3.921361112898920531e+00
3.950000000000000000e+01 3.993472396797546953e+00
4.000000000000000000e+01 4.065470020961168274e+00
4.050000000000000000e+01 4.137355381701022239e+00
4.100000000000000000e+01 4.209112095631883044e+00
4.150000000000000000e+01 4.280739604229254702e+00
4.200000000000000000e+01 4.352226737003212165e+00
4.250000000000000000e+01 4.423570794418685281e+00
4.300000000000000000e+01 4.494762002296992520e+00
4.350000000000000000e+01 4.565795194286540237e+00
4.400000000000000000e+01 4.636670044581371997e+00
4.450000000000000000e+01 4.707374731079649877e+00
4.500000000000000000e+01 4.777910370830364961e+00
4.550000000000000000e+01 4.848270540801809858e+00
4.600000000000000000e+01 4.918449376486774050e+00
4.650000000000000000e+01 4.988445900467386451e+00
4.700000000000000000e+01 5.058251129807999291e+00
4.750000000000000000e+01 5.127869718879416894e+00
4.800000000000000000e+01 5.197289380142715132e+00
4.850000000000000000e+01 5.266516071192525850e+00
4.900000000000000000e+01 5.335542996647474112e+00
4.950000000000000000e+01 5.404368341302949297e+00
5.000000000000000000e+01 5.472986194108029778e+00
5.050000000000000000e+01 5.541400418190481680e+00
5.100000000000000000e+01 5.609606126460963793e+00
5.150000000000000000e+01 5.677603598181723221e+00
5.200000000000000000e+01 5.745388830593869400e+00
5.250000000000000000e+01 5.812958193288174868e+00
5.300000000000000000e+01 5.880313361838132025e+00
5.350000000000000000e+01 5.947456570341723037e+00
5.400000000000000000e+01 6.014385584700963960e+00
5.450000000000000000e+01 6.081093469903358084e+00
5.500000000000000000e+01 6.147583716727007541e+00
5.550000000000000000e+01 6.213855208122920359e+00
5.600000000000000000e+01 6.279912412287065315e+00
5.650000000000000000e+01 6.345744577622890681e+00
5.700000000000000000e+01 6.411362176464700191e+00
5.750000000000000000e+01 6.476755015740438104e+00
5.800000000000000000e+01 6.541934498658569908e+00
5.850000000000000000e+01 6.606890990671532293e+00
5.900000000000000000e+01 6.671625841546861224e+00
5.950000000000000000e+01 6.736146312103007183e+00
6.000000000000000000e+01 6.800443465948029953e+00
