# Period[mm]	K
1.600000000000000000e+01 3.111041020617810182e-01
1.650000000000000000e+01 3.472381701591241154e-01
1.700000000000000000e+01 3.853859983280584212e-01
1.750000000000000000e+01 4.255139820113869598e-01
1.800000000000000000e+01 4.675821867076204175e-01
1.850000000000000000e+01 5.115566355098978280e-01
1.900000000000000000e+01 5.573934842452554772e-01
1.950000000000000000e+01 6.050530776744524886e-01
2.000000000000000000e+01 6.544938988099270327e-01
2.050000000000000000e+01 7.056711260608466985e-01
2.100000000000000000e+01 7.585466401303357920e-01
2.150000000000000000e+01 8.130724079117079839e-01
2.200000000000000000e+01 8.692102635643795816e-01
2.250000000000000000e+01 9.269188762756205291e-01
2.300000000000000000e+01 9.861558912711240188e-01
2.350000000000000000e+01 1.046878162533547485e+00
2.400000000000000000e+01 1.109048687815007206e+00
2.450000000000000000e+01 1.172628416944467178e+00
2.500000000000000000e+01 1.237578579013138835e+00
2.550000000000000000e+01 1.303860915093021822e+00
2.600000000000000000e+01 1.371440331228262810e+00
2.650000000000000000e+01 1.440277963422656793e+00
2.700000000000000000e+01 1.510340998362043718e+00
2.750000000000000000e+01 1.581595691858102226e+00
2.800000000000000000e+01 1.654004762400700601e+00
2.850000000000000000e+01 1.727540423396146219e+00
2.900000000000000000e+01 1.802171816366014756e+00
2.950000000000000000e+01 1.877862032149839600e+00
3.000000000000000000e+01 1.954587193825401137e+00
3.050000000000000000e+01 2.032312067805722489e+00
3.100000000000000000e+01 2.111015104353985539e+00
3.150000000000000000e+01 2.190663210893781354e+00
3.200000000000000000e+01 2.271231672716146122e+00
3.250000000000000000e+01 2.352692749771094771e+00
3.300000000000000000e+01 2.435024659603270081e+00
3.350000000000000000e+01 2.518196450646831952e+00
3.400000000000000000e+01 2.602186293902715164e+00
3.450000000000000000e+01 2.686972546546686047e+00
3.500000000000000000e+01 2.772530493869781232e+00
3.550000000000000000e+01 2.858838725766306599e+00
3.600000000000000000e+01 2.945872667158423219e+00
3.650000000000000000e+01 3.033614538349664436e+00
3.700000000000000000e+01 3.122040043524438424e+00
3.750000000000000000e+01 3.211131868423357627e+00
3.800000000000000000e+01 3.300865996493080878e+00
3.850000000000000000e+01 3.391225578911299721e+00
3.900000000000000000e+01 3.482194139205372352e+00
3.950000000000000000e+01 3.573748219346452704e+00
4.000000000000000000e+01 3.665875531795620645e+00
4.050000000000000000e+01 3.758553037417401210e+00
4.100000000000000000e+01 3.851765330244437902e+00
4.150000000000000000e+01 3.945497376659036437e+00
4.200000000000000000e+01 4.039734515393167413e+00
4.250000000000000000e+01 4.134454545098101619e+00
4.300000000000000000e+01 4.229643269942890527e+00
4.350000000000000000e+01 4.325290915748847276e+00
4.400000000000000000e+01 4.421375979322861305e+00
4.450000000000000000e+01 4.517889384641868844e+00
4.500000000000000000e+01 4.614814236339854325e+00
4.550000000000000000e+01 4.712133825225635952e+00
4.600000000000000000e+01 4.809840192325139263e+00
4.650000000000000000e+01 4.907912951494248333e+00
4.700000000000000000e+01 5.006344841914510901e+00
4.750000000000000000e+01 5.105120317987445588e+00
4.800000000000000000e+01 5.204228488485372672e+00
4.850000000000000000e+01 5.303658834530278199e+00
4.900000000000000000e+01 5.403396648310423878e+00
4.950000000000000000e+01 5.503427408188904302e+00
5.000000000000000000e+01 5.603746087445256485e+00
5.050000000000000000e+01 5.704334115139970685e+00
5.100000000000000000e+01 5.805187162708204340e+00
5.150000000000000000e+01 5.906296666107679449e+00
5.200000000000000000e+01 6.007639912008876593e+00
5.250000000000000000e+01 6.109218436354160175e+00
5.300000000000000000e+01 6.211014785253021309e+00
5.350000000000000000e+01 6.313026445345225390e+00
5.400000000000000000e+01 6.415236381633635077e+00
5.450000000000000000e+01 6.517642778913634416e+00
5.500000000000000000e+01 6.620229021081458498e+00
5.550000000000000000e+01 6.722988824736527036e+00
5.600000000000000000e+01 6.825916278827912187e+00
5.650000000000000000e+01 6.928995325776351244e+00
5.700000000000000000e+01 7.032225825950715326e+00
5.750000000000000000e+01 7.135597493191532692e+00
5.800000000000000000e+01 7.239100227514160935e+00
5.850000000000000000e+01 7.342724115108787863e+00
5.900000000000000000e+01 7.446470412655531668e+00
5.950000000000000000e+01 7.550318780553986642e+00
6.000000000000000000e+01 7.654271034008759855e+00
