# Period[mm]	K
1.600000000000000000e+01 2.199663088453139015e-01
1.650000000000000000e+01 2.455111713852263233e-01
1.700000000000000000e+01 2.724771995061021634e-01
1.750000000000000000e+01 3.008410748102189891e-01
1.800000000000000000e+01 3.305772448018686194e-01
1.850000000000000000e+01 3.616583883244379738e-01
1.900000000000000000e+01 3.940541123365839393e-01
1.950000000000000000e+01 4.277366302446131141e-01
2.000000000000000000e+01 4.626761075316788152e-01
2.050000000000000000e+01 4.988408944763211839e-01
2.100000000000000000e+01 5.362016685424817464e-01
2.150000000000000000e+01 5.747281297762335539e-01
2.200000000000000000e+01 6.143912814474744577e-01
2.250000000000000000e+01 6.551618010201458731e-01
2.300000000000000000e+01 6.970081318602043829e-01
2.350000000000000000e+01 7.399030458984525715e-01
2.400000000000000000e+01 7.838176394922042878e-01
2.450000000000000000e+01 8.287258947086715288e-01
2.500000000000000000e+01 8.745981632058393851e-01
2.550000000000000000e+01 9.214080547012554190e-01
2.600000000000000000e+01 9.691304821362919375e-01
2.650000000000000000e+01 1.017739427578160605e+00
2.700000000000000000e+01 1.067210455580146045e+00
2.750000000000000000e+01 1.117518385996204344e+00
2.800000000000000000e+01 1.168642506876262699e+00
2.850000000000000000e+01 1.220553774946510961e+00
2.900000000000000000e+01 1.273235713734306662e+00
2.950000000000000000e+01 1.326666354609459697e+00
3.000000000000000000e+01 1.380820563969635151e+00
3.050000000000000000e+01 1.435678328020379757e+00
3.100000000000000000e+01 1.491222332502306624e+00
3.150000000000000000e+01 1.547429398648817234e+00
3.200000000000000000e+01 1.604284911735591512e+00
3.250000000000000000e+01 1.661765367190073173e+00
3.300000000000000000e+01 1.719856103744233700e+00
3.350000000000000000e+01 1.778536409447999844e+00
3.400000000000000000e+01 1.837791716120759089e+00
3.450000000000000000e+01 1.897604430240876106e+00
3.500000000000000000e+01 1.957960216346277482e+00
3.550000000000000000e+01 2.018838315943182860e+00
3.600000000000000000e+01 2.080227837803912738e+00
3.650000000000000000e+01 2.142111467669080671e+00
3.700000000000000000e+01 2.204475335513693235e+00
3.750000000000000000e+01 2.267302266709488645e+00
3.800000000000000000e+01 2.330582161271824937e+00
3.850000000000000000e+01 2.394301707700203785e+00
3.900000000000000000e+01 2.458444150259737615e+00
3.950000000000000000e+01 2.523000087121401336e+00
4.000000000000000000e+01 2.587953041812554478e+00
4.050000000000000000e+01 2.653290307900905365e+00
4.100000000000000000e+01 2.719006998297109678e+00
4.150000000000000000e+01 2.785083331925255923e+00
4.200000000000000000e+01 2.851511070549021643e+00
4.250000000000000000e+01 2.918278392066569360e+00
4.300000000000000000e+01 2.985373660550890484e+00
4.350000000000000000e+01 3.052785426249810197e+00
4.400000000000000000e+01 3.120510617278598797e+00
4.450000000000000000e+01 3.188526008326949324e+00
4.500000000000000000e+01 3.256833135337225738e+00
4.550000000000000000e+01 3.325417337041401744e+00
4.600000000000000000e+01 3.394268234192584277e+00
4.650000000000000000e+01 3.463375633718715374e+00
4.700000000000000000e+01 3.532733903831124067e+00
4.750000000000000000e+01 3.602333363438540381e+00
4.800000000000000000e+01 3.672164517624525448e+00
4.850000000000000000e+01 3.742218057647474616e+00
4.900000000000000000e+01 3.812484860940613007e+00
4.950000000000000000e+01 3.882960598939094954e+00
5.000000000000000000e+01 3.953632006686131461e+00
5.050000000000000000e+01 4.024495221053956406e+00
5.100000000000000000e+01 4.095542003806247777e+00
5.150000000000000000e+01 4.166759508879590790e+00
5.200000000000000000e+01 4.238149411847474290e+00
5.250000000000000000e+01 4.309699285539854152e+00
5.300000000000000000e+01 4.381401636419736789e+00
5.350000000000000000e+01 4.453254137301722260e+00
5.400000000000000000e+01 4.525244779909137982e+00
5.450000000000000000e+01 4.597366629229489021e+00
5.500000000000000000e+01 4.669618056232993197e+00
5.550000000000000000e+01 4.741987471536350363e+00
5.600000000000000000e+01 4.814473711546861878e+00
5.650000000000000000e+01 4.887070725582481678e+00
5.700000000000000000e+01 4.959767343153284713e+00
5.750000000000000000e+01 5.032563098822190106e+00
5.800000000000000000e+01 5.105447101361518136e+00
5.850000000000000000e+01 5.178419350771269691e+00
5.900000000000000000e+01 5.251469235086014820e+00
5.950000000000000000e+01 5.324597219742831733e+00
6.000000000000000000e+01 5.397792972038541137e+00
